Station,Station.Name,Longitude,Latitude,SAMPLE_DATE,Parameter,Result.Value,Error_Flag
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Arsenic (total,ug/l)",0.77,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Calcium (total,ug/l)",52000,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Chloride (As Cl) (total,mg/l)",26.5,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Copper (dissolved,ug/l)",1.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Copper (total,ug/l)",1.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Dissolved Organic Carbon (dissolved,mg/l)",2.7,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Hardness (As CaCO3) (total,mg/l)",200,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Iron (total,ug/l)",96.7,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Lead (total,ug/l)",0.134,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Magnesium (total,ug/l)",13400,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Manganese (total,ug/l)",18.6,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Mercury (total,ng/l)",0.589,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Nickel (dissolved,ug/l)",2.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Nickel (total,ug/l)",2.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Nitrogen, Ammonia (As N) (total,mg/l)",0.024,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Nitrogen, Kjeldahl, Total (total,mg/l)",0.19,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Nitrogen, Nitrate-Nitrite (total,mg/l)",0.0781,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Nitrogen, Nitrate (As N) (total,mg/l)",0.078,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"pH (total,ph units)",8.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Phosphate Ion (dissolved,mg/l)",0.0062,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Phosphorus (total,mg/l)",0.0156,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Potassium (total,ug/l)",1740,E
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Sodium (total,ug/l)",16400,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Specific Conductance (total,umhos/cm)",443,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Sulfate (As SO4) (total,mg/l)",11.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Total Dissolved Solids (Residue, Filterable) (total,mg/l)",232,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Total Organic Carbon (total,mg/l)",2.8,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Total Solids (total,mg/l)",238,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Total Suspended Solids (total,mg/l)",2.7,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Total Volatile Solids (total,mg/l)",38,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Turbidity (total,ntu)",1.42,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Zinc (dissolved,ug/l)",1.8,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,7/12/2012,"Zinc (total,ug/l)",2.3,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Alkalinity, Total (As CaCO3) (total,mg/l)",160,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Aluminum (total,ug/l)",32.6,EJ
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Arsenic (total,ug/l)",0.647,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Calcium (total,ug/l)",49200,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Chloride (As Cl) (total,mg/l)",23.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Copper (dissolved,ug/l)",1,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Copper (total,ug/l)",0.983,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Dissolved Organic Carbon (dissolved,mg/l)",2.6,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Hardness (As CaCO3) (total,mg/l)",180,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Iron (total,ug/l)",82.6,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Lead (dissolved,ug/l)",0.098,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Lead (total,ug/l)",0.246,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Magnesium (total,ug/l)",12200,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Manganese (total,ug/l)",12.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Mercury (total,ng/l)",0.536,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Nickel (dissolved,ug/l)",2.6,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Nickel (total,ug/l)",2.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Nitrogen, Ammonia (As N) (total,mg/l)",0.013,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Nitrogen, Kjeldahl, Total (total,mg/l)",0.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Nitrogen, Nitrate-Nitrite (total,mg/l)",0.032,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Nitrogen, Nitrate (As N) (total,mg/l)",0.032,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"pH (total,ph units)",8.47,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Phosphate Ion (dissolved,mg/l)",0.0056,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Phosphorus (total,mg/l)",0.014,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Potassium (total,ug/l)",1830,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Sodium (total,ug/l)",14300,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Specific Conductance (total,umhos/cm)",407,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Sulfate (As SO4) (total,mg/l)",12.7,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Total Dissolved Solids (Residue, Filterable) (total,mg/l)",225,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Total Organic Carbon (total,mg/l)",2.7,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Total Solids (total,mg/l)",241,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Total Suspended Solids (total,mg/l)",2.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Total Volatile Solids (total,mg/l)",44,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Turbidity (total,ntu)",1.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Zinc (dissolved,ug/l)",4,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,8/13/2012,"Zinc (total,ug/l)",4.6,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Alkalinity, Total (As CaCO3) (total,mg/l)",175,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Aluminum (dissolved,ug/l)",9,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Aluminum (total,ug/l)",159,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Arsenic (total,ug/l)",1.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Calcium (total,ug/l)",54700,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Chloride (As Cl) (total,mg/l)",22.6,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Copper (dissolved,ug/l)",1.6,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Copper (total,ug/l)",1.7,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Dissolved Organic Carbon (dissolved,mg/l)",5.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Hardness (As CaCO3) (total,mg/l)",184,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Iron (total,ug/l)",541,E
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Lead (dissolved,ug/l)",0.234,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Lead (total,ug/l)",0.496,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Magnesium (total,ug/l)",14200,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Manganese (total,ug/l)",28.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Mercury (total,ng/l)",1.5,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Nickel (dissolved,ug/l)",2.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Nickel (total,ug/l)",2.6,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Nitrogen, Ammonia (As N) (total,mg/l)",0.025,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Nitrogen, Kjeldahl, Total (total,mg/l)",0.44,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Nitrogen, Nitrate-Nitrite (total,mg/l)",0.0537,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Nitrogen, Nitrate (As N) (total,mg/l)",0.054,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"pH (total,ph units)",8.18,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Phosphate Ion (dissolved,mg/l)",0.0096,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Phosphorus (total,mg/l)",0.0555,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Potassium (total,ug/l)",3260,E
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Sodium (total,ug/l)",15800,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Specific Conductance (total,umhos/cm)",425,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Sulfate (As SO4) (total,mg/l)",9.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Total Dissolved Solids (Residue, Filterable) (total,mg/l)",246,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Total Organic Carbon (total,mg/l)",5.7,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Total Solids (total,mg/l)",262,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Total Suspended Solids (total,mg/l)",7.5,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Total Volatile Solids (total,mg/l)",52,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Turbidity (total,ntu)",2.85,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Zinc (dissolved,ug/l)",2.7,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,9/10/2012,"Zinc (total,ug/l)",3.9,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Alkalinity, Total (As CaCO3) (total,mg/l)",200,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Aluminum (total,ug/l)",27.3,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Arsenic (total,ug/l)",0.49,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Calcium (total,ug/l)",67300,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Chloride (As Cl) (total,mg/l)",34.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Copper (dissolved,ug/l)",1.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Copper (total,ug/l)",1.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Dissolved Organic Carbon (dissolved,mg/l)",3.6,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Hardness (As CaCO3) (total,mg/l)",224,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Iron (total,ug/l)",78,E
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Magnesium (total,ug/l)",14000,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Manganese (total,ug/l)",7.9,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Nickel (dissolved,ug/l)",2.1,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Nickel (total,ug/l)",2.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Nitrogen, Kjeldahl, Total (total,mg/l)",0.28,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Nitrogen, Nitrate-Nitrite (total,mg/l)",0.473,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Nitrogen, Nitrate (As N) (total,mg/l)",0.473,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"pH (total,ph units)",8.17,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Phosphate Ion (dissolved,mg/l)",0.0081,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Phosphorus (total,mg/l)",0.0187,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Potassium (total,ug/l)",3590,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Sodium (total,ug/l)",20800,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Specific Conductance (total,umhos/cm)",539,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Sulfate (As SO4) (total,mg/l)",28.3,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Total Dissolved Solids (Residue, Filterable) (total,mg/l)",293,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Total Organic Carbon (total,mg/l)",3.5,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Total Solids (total,mg/l)",326,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Total Suspended Solids (total,mg/l)",2.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Total Volatile Solids (total,mg/l)",43,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Turbidity (total,ntu)",1.61,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Zinc (dissolved,ug/l)",2.2,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/3/2012,"Zinc (total,ug/l)",2.8,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Alkalinity, Total (As CaCO3) (total,mg/l)",188,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Aluminum (total,ug/l)",32.5,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Calcium (total,ug/l)",68500,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Chloride (As Cl) (total,mg/l)",30.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Copper (dissolved,ug/l)",1.1,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Copper (total,ug/l)",1.1,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Dissolved Organic Carbon (dissolved,mg/l)",4.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Hardness (As CaCO3) (total,mg/l)",224,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Iron (total,ug/l)",80.9,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Lead (dissolved,ug/l)",0.276,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Magnesium (total,ug/l)",12700,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Manganese (total,ug/l)",8,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Mercury (total,ng/l)",0.597,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Nickel (dissolved,ug/l)",2.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Nickel (total,ug/l)",1.8,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Nitrogen, Kjeldahl, Total (total,mg/l)",0.28,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Nitrogen, Nitrate-Nitrite (total,mg/l)",0.0094,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"pH (total,ph units)",8.16,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Phosphate Ion (dissolved,mg/l)",0.007,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Phosphorus (total,mg/l)",0.0144,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Potassium (total,ug/l)",2560,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Sodium (total,ug/l)",18200,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Specific Conductance (total,umhos/cm)",513,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Sulfate (As SO4) (total,mg/l)",32.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Total Dissolved Solids (Residue, Filterable) (total,mg/l)",299,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Total Organic Carbon (total,mg/l)",4.2,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Total Solids (total,mg/l)",320,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Total Suspended Solids (total,mg/l)",1.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Total Volatile Solids (total,mg/l)",57,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Turbidity (total,ntu)",1.4,
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Zinc (dissolved,ug/l)",1.5,J
7065100,Dutch Hollow Brook,-76.50804901,42.86415863,10/23/2012,"Zinc (total,ug/l)",2.7,J