"Site","Date","Value","Latitude","Longitude","Database"
"07-OWAL_T2-0.1",2017-04-05,0.021,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2017-04-05,0.0204,42.824,-76.521,"DEC"
"07-OWAL_T5-0.2",2017-04-05,0.0239,42.843,-76.503,"DEC"
"07-OWLI-0.1",2017-04-05,0.058,42.755,-76.463,"DEC"
"07-VENE-0.4",2017-04-05,0.1016,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-04-05,0.0725,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-04-05,0.0271,42.902,-76.527,"DEC"
"07-OWLI-0.1",2017-05-02,0.0822,42.755,-76.463,"DEC"
"07-VENE-0.4",2017-05-02,0.0724,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-05-02,0.1018,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-05-02,0.287,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2017-06-06,0.0354,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2017-06-06,0.0131,42.824,-76.521,"DEC"
"07-OWAL_T5-0.2",2017-06-06,0.0307,42.843,-76.503,"DEC"
"07-OWLI-0.1",2017-06-06,0.0683,42.755,-76.463,"DEC"
"07-VENE-0.4",2017-06-06,0.0243,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-06-06,0.0202,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-06-06,0.0274,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2017-07-05,0.0396,42.892,-76.522,"DEC"
"07-DUCH-0.3",2017-07-05,0.031,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-07-05,0.0472,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2017-07-28,0.0442,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2017-07-28,0.0117,42.824,-76.521,"DEC"
"07-OWAL_T5-0.2",2017-07-28,0.0206,42.843,-76.503,"DEC"
"07-OWLI-0.1",2017-07-28,0.0313,42.755,-76.463,"DEC"
"07-VENE-0.4",2017-07-28,0.0265,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-07-28,0.0246,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-07-28,0.049,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2017-10-30,0.1833,42.892,-76.522,"DEC"
"07-VENE-0.4",2017-10-30,0.3415,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-10-30,0.4748,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-10-30,0.3832,42.902,-76.527,"DEC"
"07-OWAL_T16-0.4",2017-11-15,0.024,42.776,-76.462,"DEC"
"07-OWAL_T5-0.2",2017-11-15,0.0127,42.843,-76.503,"DEC"
"07-OWAL_T9-0.1",2017-11-15,0.2187,42.805,-76.491,"DEC"
"07-OWLI-0.1",2017-11-15,0.0217,42.755,-76.463,"DEC"
"07-VENE-0.4",2017-11-15,0.0113,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-11-15,0.0153,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-11-15,0.0203,42.902,-76.527,"DEC"
"07-OWAL_T16-0.4",2017-12-01,0.0221,42.776,-76.462,"DEC"
"07-OWAL_T5-0.2",2017-12-01,0.0074,42.843,-76.503,"DEC"
"07-OWAL_T9-0.1",2017-12-01,0.0624,42.805,-76.491,"DEC"
"07-OWLI-0.1",2017-12-01,0.0194,42.755,-76.463,"DEC"
"07-VENE-0.4",2017-12-01,0.0104,42.886,-76.548,"DEC"
"07-DUCH-0.3",2017-12-01,0.0087,42.864,-76.508,"DEC"
"07-SCKR-0.1",2017-12-01,0.012,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2018-05-23,0.0317,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2018-07-05,0.0237,42.824,-76.521,"DEC"
"07-OWLI-0.1",2018-07-05,0.0535,42.755,-76.463,"DEC"
"07-VENE-0.4",2018-07-05,0.0593,42.886,-76.548,"DEC"
"07-DUCH-0.3",2018-07-05,0.02,42.864,-76.508,"DEC"
"07-DUCH-0.3",2018-07-25,0.0629,42.864,-76.508,"DEC"
"07-OWAL_T2-0.1",2018-08-14,0.0345,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2018-08-14,0.0427,42.824,-76.521,"DEC"
"07-OWLI-0.1",2018-08-14,0.0945,42.755,-76.463,"DEC"
"07-VENE-0.4",2018-08-14,0.04,42.886,-76.548,"DEC"
"07-DUCH-0.3",2018-08-14,0.0186,42.864,-76.508,"DEC"
"07-SCKR-0.1",2018-08-14,0.172,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2018-08-17,0.1141,42.892,-76.522,"DEC"
"07-OWAL_T2-0.1",2018-08-28,0.0168,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2018-08-28,0.0266,42.824,-76.521,"DEC"
"07-OWLI-0.1",2018-08-28,0.0361,42.755,-76.463,"DEC"
"07-VENE-0.4",2018-08-28,0.0362,42.886,-76.548,"DEC"
"07-DUCH-0.3",2018-08-28,0.0117,42.864,-76.508,"DEC"
"07-SCKR-0.1",2018-08-28,0.0736,42.902,-76.527,"DEC"
"07-OWLI-0.1",2018-09-10,0.0395,42.755,-76.463,"DEC"
"07-VENE-0.4",2018-09-10,0.0485,42.886,-76.548,"DEC"
"07-DUCH-0.3",2018-09-10,0.0479,42.864,-76.508,"DEC"
"07-SCKR-0.1",2018-09-10,0.0305,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2018-09-11,0.0328,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2018-09-11,0.0225,42.824,-76.521,"DEC"
"07-OWLI-0.1",2018-09-11,0.0504,42.755,-76.463,"DEC"
"07-VENE-0.4",2018-09-11,0.135,42.886,-76.548,"DEC"
"07-DUCH-0.3",2018-09-11,0.0765,42.864,-76.508,"DEC"
"07-SCKR-0.1",2018-09-11,0.0447,42.902,-76.527,"DEC"
"07-OWAL_T2-0.1",2018-10-23,0.0313,42.892,-76.522,"DEC"
"07-OWAL_T46-0.1",2018-10-23,0.022,42.824,-76.521,"DEC"
"07-OWLI-0.1",2018-10-23,0.0159,42.755,-76.463,"DEC"
"07-VENE-0.4",2018-10-23,0.0228,42.886,-76.548,"DEC"
"07-DUCH-0.3",2018-10-23,0.0082,42.864,-76.508,"DEC"
"07-SCKR-0.1",2018-10-23,0.0157,42.902,-76.527,"DEC"
"07-OWLI-0.1",2018-10-29,0.0239,42.755,-76.463,"DEC"
"07-VENE-0.4",2018-10-29,0.0639,42.886,-76.548,"DEC"
"07-DUCH-0.3",2018-10-29,0.0351,42.864,-76.508,"DEC"
"07-SCKR-0.1",2018-10-29,0.0506,42.902,-76.527,"DEC"
"07-OWLI-0.1",2018-11-02,0.0231,42.755,-76.463,"DEC"
"07-VENE-0.4",2018-11-02,0.0526,42.886,-76.548,"DEC"
"07-DUCH-0.3",2018-11-02,0.0438,42.864,-76.508,"DEC"
"07-SCKR-0.1",2018-11-02,0.0371,42.902,-76.527,"DEC"
"OWLA 166",2018-07-17,0.0106,42.86423,-76.507918,"Dana"
"OWLA 801",2018-07-17,0.0343,42.754942,-76.463351,"Dana"
"OWLA 166",2018-07-25,0.0679,42.86423,-76.507918,"Dana"
"OWLA 801",2018-07-25,0.1026,42.754942,-76.463351,"Dana"
"OWLA 174",2018-07-25,0.0563,42.887364,-76.54882,"Dana"
"OWLA 101",2018-07-25,0.0646,42.901229,-76.527212,"Dana"
"OWLA 166",2018-07-31,0.0133,42.86423,-76.507918,"Dana"
"OWLA 801",2018-07-31,0.0321,42.754942,-76.463351,"Dana"
"OWLA 321",2018-07-31,0.0212,42.823804,-76.533361,"Dana"
"OWLA 174",2018-07-31,0.0424,42.887364,-76.54882,"Dana"
"OWLA 101",2018-07-31,0.0503,42.901229,-76.527212,"Dana"
"OWLA 303",2018-07-31,0.007,42.892722,-76.521832,"Dana"
"OWLA 174",2018-08-28,0.0366,42.887364,-76.54882,"Dana"
"OWLA 166",2018-10-09,0.0196,42.86423,-76.507918,"Dana"
"OWLA 801",2018-10-09,0.0279,42.754942,-76.463351,"Dana"
"OWLA 174",2018-10-09,0.0329,42.887364,-76.54882,"Dana"
"OWLA 101",2018-10-09,0.0332,42.901229,-76.527212,"Dana"
"OWLA 303",2018-10-09,0.0173,42.892722,-76.521832,"Dana"
"OWLA 321",2018-10-09,0.0166,42.823804,-76.533361,"Dana"
"OWLA 166",2018-10-23,0.0088,42.86423,-76.507918,"Dana"
"OWLA 166",2021-09-22,0.0084,42.864288,-76.507806,"Dana"
"OWLA 101",2021-09-22,0.0335,42.901189,-76.527402,"Dana"
"OWLA 158",2021-09-22,0.0417,42.599363,-76.373137,"Dana"
"OWLA 274",2021-09-22,0.0589,42.889701,-76.54934,"Dana"
"OWLA 200",2021-09-22,0.0114,42.659673,-76.428177,"Dana"
"OWLA 213",2021-09-22,0.008,42.71622,-76.437075,"Dana"
"OWLA 166",2021-09-24,0.0569,42.864288,-76.507806,"Dana"
"OWLA 101",2021-09-24,0.1205,42.901189,-76.527402,"Dana"
"OWLA 158",2021-09-24,0.0485,42.599363,-76.373137,"Dana"
"OWLA 274",2021-09-24,0.0936,42.889701,-76.54934,"Dana"
"OWLA 200",2021-09-24,0.0683,42.659673,-76.428177,"Dana"
"OWLA 213",2021-09-24,0.0571,42.71622,-76.437075,"Dana"
"OWLA 166",2021-10-14,0.0134,42.864288,-76.507806,"Dana"
"OWLA 101",2021-10-14,0.0327,42.901189,-76.527402,"Dana"
"OWLA 158",2021-10-14,0.0175,42.599363,-76.373137,"Dana"
"OWLA 274",2021-10-14,0.0199,42.889701,-76.54934,"Dana"
"OWLA 200",2021-10-14,0.0138,42.659673,-76.428177,"Dana"
"OWLA 213",2021-10-14,0.0112,42.71622,-76.437075,"Dana"
"OWLA 166",2021-10-18,0.2341,42.864288,-76.507806,"Dana"
"OWLA 101",2021-10-18,0.2223,42.901189,-76.527402,"Dana"
"OWLA 158",2021-10-18,0.0578,42.599363,-76.373137,"Dana"
"OWLA 274",2021-10-18,0.271,42.889701,-76.54934,"Dana"
"OWLA 200",2021-10-18,0.05,42.659673,-76.428177,"Dana"
"OWLA 213",2021-10-18,0.0507,42.71622,-76.437075,"Dana"
"OWLA 166",2021-11-10,0.0167,42.864288,-76.507806,"Dana"
"OWLA 101",2021-11-10,0.0337,42.901189,-76.527402,"Dana"
"OWLA 158",2021-11-10,0.0339,42.599363,-76.373137,"Dana"
"OWLA 274",2021-11-10,0.0261,42.889701,-76.54934,"Dana"
"OWLA 200",2021-11-10,0.0236,42.659673,-76.428177,"Dana"
"OWLA 213",2021-11-10,0.0168,42.71622,-76.437075,"Dana"
"OWLA 166",2022-05-05,0.0104,42.864288,-76.507806,"Dana"
"OWLA 101",2022-05-05,0.0205,42.901189,-76.527402,"Dana"
"OWLA 158",2022-05-05,0.0404,42.599363,-76.373137,"Dana"
"OWLA 274",2022-05-05,0.0519,42.889701,-76.54934,"Dana"
"OWLA 200",2022-05-05,0.0164,42.659673,-76.428177,"Dana"
"OWLA 213",2022-05-05,0.0151,42.71622,-76.437075,"Dana"
"OWLA 101",2022-05-05,0.0103,42.901189,-76.527402,"Dana"
"OWLA 166",2022-05-20,0.0156,42.864288,-76.507806,"Dana"
"OWLA 101",2022-05-20,0.0275,42.901189,-76.527402,"Dana"
"OWLA 158",2022-05-20,0.026,42.599363,-76.373137,"Dana"
"OWLA 200",2022-05-20,0.0132,42.659673,-76.428177,"Dana"
"OWLA 213",2022-05-20,0.0094,42.71622,-76.437075,"Dana"
"OWLA 101",2022-05-20,0.0111,42.901189,-76.527402,"Dana"
"OWLA 166",2022-06-01,0.0222,42.864288,-76.507806,"Dana"
"OWLA 101",2022-06-01,0.054,42.901189,-76.527402,"Dana"
"OWLA 158",2022-06-01,0.0405,42.599363,-76.373137,"Dana"
"OWLA 274",2022-06-01,0.1194,42.889701,-76.54934,"Dana"
"OWLA 200",2022-06-01,0.0346,42.659673,-76.428177,"Dana"
"OWLA 213",2022-06-01,0.0216,42.71622,-76.437075,"Dana"
"OWLA 290",2022-06-01,0.0188,42.83408,-76.50477,"Dana"
"OWLA 166",2022-06-16,0.3879,42.864288,-76.507806,"Dana"
"OWLA 101",2022-06-16,0.6278,42.901189,-76.527402,"Dana"
"OWLA 158",2022-06-16,0.3258,42.599363,-76.373137,"Dana"
"OWLA 274",2022-06-16,0.1017,42.889701,-76.54934,"Dana"
"OWLA 200",2022-06-16,0.0829,42.659673,-76.428177,"Dana"
"OWLA 213",2022-06-16,0.1051,42.71622,-76.437075,"Dana"
"OWLA 290",2022-06-16,0.105,42.83408,-76.50477,"Dana"
"OWLA 166",2022-07-11,0.0116,42.864288,-76.507806,"Dana"
"OWLA 101",2022-07-11,0.0497,42.901189,-76.527402,"Dana"
"OWLA 158",2022-07-11,0.0469,42.599363,-76.373137,"Dana"
"OWLA 274",2022-07-11,0.0479,42.889701,-76.54934,"Dana"
"OWLA 200",2022-07-11,0.0275,42.659673,-76.428177,"Dana"
"OWLA 213",2022-07-11,0.0152,42.71622,-76.437075,"Dana"
"OWLA 290",2022-07-11,0.0167,42.83408,-76.50477,"Dana"
"OWLA 166",2022-07-20,0.0183,42.864288,-76.507806,"Dana"
"OWLA 101",2022-07-20,0.0662,42.901189,-76.527402,"Dana"
"OWLA 158",2022-07-20,0.1429,42.599363,-76.373137,"Dana"
"OWLA 274",2022-07-20,0.0538,42.889701,-76.54934,"Dana"
"OWLA 200",2022-07-20,0.0274,42.659673,-76.428177,"Dana"
"OWLA 213",2022-07-20,0.0167,42.71622,-76.437075,"Dana"
"OWLA 290",2022-07-20,0.0208,42.83408,-76.50477,"Dana"
"OWLA 166",2022-08-03,0.0139,42.864288,-76.507806,"Dana"
"OWLA 101",2022-08-03,0.0779,42.901189,-76.527402,"Dana"
"OWLA 158",2022-08-03,0.1855,42.599363,-76.373137,"Dana"
"OWLA 274",2022-08-03,0.0508,42.889701,-76.54934,"Dana"
"OWLA 200",2022-08-03,0.0273,42.659673,-76.428177,"Dana"
"OWLA 213",2022-08-03,0.0148,42.71622,-76.437075,"Dana"
"OWLA 290",2022-08-03,0.0191,42.83408,-76.50477,"Dana"
"OWLA 166",2022-08-23,0.1845,42.864288,-76.507806,"Dana"
"OWLA 101",2022-08-23,0.0987,42.901189,-76.527402,"Dana"
"OWLA 158",2022-08-23,0.0853,42.599363,-76.373137,"Dana"
"OWLA 274",2022-08-23,0.0558,42.889701,-76.54934,"Dana"
"OWLA 200",2022-08-23,0.031,42.659673,-76.428177,"Dana"
"OWLA 213",2022-08-23,0.0395,42.71622,-76.437075,"Dana"
"OWLA 290",2022-08-23,0.0214,42.83408,-76.50477,"Dana"
"OWLA 166",2022-09-08,0.1093,42.864288,-76.507806,"Dana"
"OWLA 101",2022-09-08,0.4166,42.901189,-76.527402,"Dana"
"OWLA 158",2022-09-08,1.4028,42.599363,-76.373137,"Dana"
"OWLA 274",2022-09-08,0.1154,42.889701,-76.54934,"Dana"
"OWLA 200",2022-09-08,0.0395,42.659673,-76.428177,"Dana"
"OWLA 213",2022-09-08,0.0243,42.71622,-76.437075,"Dana"
"OWLA 290",2022-09-08,0.0911,42.83408,-76.50477,"Dana"
"OWLA 166",2022-09-21,0.067,42.864288,-76.507806,"Dana"
"OWLA 101",2022-09-21,0.086,42.901189,-76.527402,"Dana"
"OWLA 158",2022-09-21,0.0419,42.599363,-76.373137,"Dana"
"OWLA 274",2022-09-21,0.0747,42.889701,-76.54934,"Dana"
"OWLA 200",2022-09-21,0.0338,42.659673,-76.428177,"Dana"
"OWLA 213",2022-09-21,0.0162,42.71622,-76.437075,"Dana"
"OWLA 290",2022-09-21,0.0242,42.83408,-76.50477,"Dana"
"OWLA 166",2022-10-05,0.0081,42.864288,-76.507806,"Dana"
"OWLA 101",2022-10-05,0.0378,42.901189,-76.527402,"Dana"
"OWLA 158",2022-10-05,0.0266,42.599363,-76.373137,"Dana"
"OWLA 274",2022-10-05,0.0592,42.889701,-76.54934,"Dana"
"OWLA 200",2022-10-05,0.012,42.659673,-76.428177,"Dana"
"OWLA 213",2022-10-05,0.0087,42.71622,-76.437075,"Dana"
"OWLA 290",2022-10-05,0.0119,42.83408,-76.50477,"Dana"
"OWLA 166",2022-10-19,0.0089,42.864288,-76.507806,"Dana"
"OWLA 101",2022-10-19,0.0173,42.901189,-76.527402,"Dana"
"OWLA 158",2022-10-19,0.0234,42.599363,-76.373137,"Dana"
"OWLA 274",2022-10-19,0.0254,42.889701,-76.54934,"Dana"
"OWLA 200",2022-10-19,0.0353,42.659673,-76.428177,"Dana"
"OWLA 213",2022-10-19,0.013,42.71622,-76.437075,"Dana"
"OWLA 290",2022-10-19,0.0105,42.83408,-76.50477,"Dana"
"07-VENE-1.5",2019-07-16,0.0221,42.880164,-76.56232,"DOW"
"07-DUCH-0.3",2019-07-16,0.0109,42.864,-76.508,"DOW"
"07-OWAL_T9-0.1",2019-07-16,0.0885,42.805,-76.491,"DOW"
"07-OWLI-3.0",2019-07-16,0.0147,42.71667,-76.43773,"DOW"
"07-OWAL_T46-0.1",2019-07-16,0.0115,42.824,-76.521,"DOW"
"07-VENE-1.5",2019-06-19,0.0199,42.880164,-76.56232,"DOW"
"07-OWAL_T46-0.1",2019-06-19,0.0107,42.824,-76.521,"DOW"
"07-DUCH-0.3",2019-06-19,0.0245,42.864,-76.508,"DOW"
"07-SCKR-0.1",2019-06-19,0.0435,42.902,-76.527,"DOW"
"07-OWLI-3.0",2019-06-18,0.0179,42.71667,-76.43773,"DOW"
"07-VENE-0.4",2018-06-19,0.122,42.886,-76.548,"DOW"
"07-SCKR-0.1",2018-06-19,0.0498,42.902,-76.527,"DOW"
"07-DUCH-0.3",2018-06-19,0.011,42.864,-76.508,"DOW"
"07-OWLI-3.0",2018-06-19,0.022,42.71667,-76.43773,"DOW"
"07-DUCH-0.3",2018-05-29,0.0173,42.864,-76.508,"DOW"
"07-SCKR-0.1",2018-05-29,0.0341,42.902,-76.527,"DOW"
"07-SCKR-0.1",2018-05-29,0.0332,42.902,-76.527,"DOW"
"07-VENE-0.4",2018-05-23,0.0221,42.886,-76.548,"DOW"
"07-SCKR-0.1",2018-05-23,0.0251,42.902,-76.527,"DOW"
"07-DUCH-0.3",2018-05-23,0.0188,42.864,-76.508,"DOW"
"07-DUCH-0.3",2018-05-23,0.0176,42.864,-76.508,"DOW"
"07-OWLI-3.0",2018-05-23,0.111,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2018-05-15,0.0222,42.71667,-76.43773,"DOW"
"07-VENE-0.4",2018-05-15,0.0326,42.886,-76.548,"DOW"
"07-SCKR-0.1",2018-05-15,0.0199,42.902,-76.527,"DOW"
"07-DUCH-0.3",2018-05-15,0.0124,42.864,-76.508,"DOW"
"07-SCKR-0.1",2018-05-01,0.0162,42.902,-76.527,"DOW"
"07-DUCH-0.3",2018-05-01,0.0085,42.864,-76.508,"DOW"
"07-OWLI-3.0",2018-05-01,0.0069,42.71667,-76.43773,"DOW"
"07-VENE-0.4",2018-05-01,0.013,42.886,-76.548,"DOW"
"07-OWLI-3.0",2018-04-26,0.0106,42.71667,-76.43773,"DOW"
"07-DUCH-0.3",2018-04-26,0.0117,42.864,-76.508,"DOW"
"07-SCKR-0.1",2018-04-26,0.0173,42.902,-76.527,"DOW"
"07-VENE-0.4",2018-04-26,0.0213,42.886,-76.548,"DOW"
"07-OWLI-3.0",2018-04-18,0.014,42.71667,-76.43773,"DOW"
"07-DUCH-0.3",2018-04-18,0.0126,42.864,-76.508,"DOW"
"07-SCKR-0.1",2018-04-18,0.0263,42.902,-76.527,"DOW"
"07-VENE-0.4",2018-04-18,0.0371,42.886,-76.548,"DOW"
"07-VENE-0.4",2018-04-18,0.0333,42.886,-76.548,"DOW"
"07-VENE-0.4",2018-04-03,0.0221,42.886,-76.548,"DOW"
"07-SCKR-0.1",2018-04-03,0.0139,42.902,-76.527,"DOW"
"07-DUCH-0.3",2018-04-03,0.0112,42.864,-76.508,"DOW"
"07-OWLI-3.0",2018-04-03,0.0169,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2018-03-20,0.0104,42.71667,-76.43773,"DOW"
"07-DUCH-0.3",2018-03-20,0.0088,42.864,-76.508,"DOW"
"07-SCKR-0.1",2018-03-20,0.0085,42.902,-76.527,"DOW"
"07-VENE-0.4",2018-03-20,0.0165,42.886,-76.548,"DOW"
"07-OWLI-3.0",2018-03-12,0.0058,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2018-03-12,0.0063,42.71667,-76.43773,"DOW"
"07-DUCH-0.3",2018-03-12,0.0047,42.864,-76.508,"DOW"
"07-SCKR-0.1",2018-03-12,0.0084,42.902,-76.527,"DOW"
"07-VENE-0.4",2018-03-12,0.0088,42.886,-76.548,"DOW"
"07-DUCH-0.2",2012-10-23,0.0144,42.864159,-76.508049,"DOW"
"07-DUCH-0.2",2012-10-03,0.0187,42.864159,-76.508049,"DOW"
"07-DUCH-0.2",2012-09-10,0.0555,42.864159,-76.508049,"DOW"
"07-DUCH-0.2",2012-08-13,0.014,42.864159,-76.508049,"DOW"
"07-DUCH-0.2",2012-07-12,0.0156,42.864159,-76.508049,"DOW"
"07-DUCH-0.2",2012-06-28,0.0124,42.864159,-76.508049,"DOW"
"07-DUCH-0.2",2012-06-05,0.0128,42.864159,-76.508049,"DOW"
"07-DUCH-0.2",2012-05-15,0.0114,42.864159,-76.508049,"DOW"
"07-DUCH-0.2",2012-04-30,0.0071,42.864159,-76.508049,"DOW"
"07-DUCH-0.2",2012-04-04,0.0054,42.864159,-76.508049,"DOW"
"07-OWLI-3.0",2007-11-13,0.0191,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2007-10-24,0.164,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2007-10-03,0.0364,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2007-09-12,0.0743,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2007-08-22,0.0487,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2007-07-18,0.0379,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2007-06-18,0.053,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2007-05-31,0.0613,42.71667,-76.43773,"DOW"
"07-OWLI-3.0",2007-05-03,0.0198,42.71667,-76.43773,"DOW"
